iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
DEU,Europe,Germany,02-02-2020,8,1,0,0,0.095,0.012,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,03-02-2020,9,1,0,0,0.107,0.012,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,04-02-2020,11,2,0,0,0.131,0.024,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,05-02-2020,11,0,0,0,0.131,0,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,06-02-2020,11,0,0,0,0.131,0,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,07-02-2020,12,1,0,0,0.143,0.012,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,08-02-2020,13,1,0,0,0.155,0.012,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,09-02-2020,13,0,0,0,0.155,0,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,10-02-2020,13,0,0,0,0.155,0,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,11-02-2020,13,0,0,0,0.155,0,0,0,,,,,,,,5.56,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
