"","data.SampleYear","data.Population"
"1",1971,110
"2",1972,100
"3",1974,140
"4",1975,130
"5",1976,150
"6",1977,180
"7",1978,170
"8",1979,210
"9",1980,200
"10",1981,220
"11",1982,260
"12",1983,300
"13",1984,340
"14",1985,320
"15",1986,390
"16",1987,430
"17",1988,460
"18",1989,400
"19",1990,510
"20",1991,430
"21",1992,450
